ipAddress,countryCode,abuseConfidenceScore,lastReportedAt
51.38.12.12,FR,100,2025-05-12T06:16:18+00:00
218.92.0.183,CN,100,2025-05-12T06:16:17+00:00
176.65.148.57,DE,100,2025-05-12T06:16:17+00:00
31.173.247.254,RU,100,2025-05-12T06:16:17+00:00
157.230.81.155,US,100,2025-05-12T06:16:17+00:00
118.194.249.254,KR,100,2025-05-12T06:16:16+00:00
198.54.126.68,US,100,2025-05-12T06:16:16+00:00
115.246.230.182,IN,100,2025-05-12T06:16:16+00:00
110.4.147.102,JP,100,2025-05-12T06:16:16+00:00
165.232.47.118,GB,100,2025-05-12T06:16:15+00:00
47.180.114.229,US,100,2025-05-12T06:16:15+00:00
144.126.197.43,GB,100,2025-05-12T06:16:15+00:00
45.227.255.177,NL,100,2025-05-12T06:16:15+00:00
103.172.112.192,BD,100,2025-05-12T06:16:15+00:00
104.168.4.254,US,100,2025-05-12T06:16:14+00:00
194.164.126.55,GB,100,2025-05-12T06:16:14+00:00
91.196.152.89,FR,100,2025-05-12T06:16:14+00:00
45.79.191.178,US,100,2025-05-12T06:16:14+00:00
195.178.110.161,NL,100,2025-05-12T06:16:14+00:00
194.242.57.77,DE,100,2025-05-12T06:16:14+00:00
187.141.34.254,MX,100,2025-05-12T06:16:13+00:00
188.40.57.72,DE,100,2025-05-12T06:16:13+00:00
193.46.255.40,RO,100,2025-05-12T06:16:13+00:00
71.12.241.225,US,100,2025-05-12T06:16:12+00:00
47.236.12.137,SG,100,2025-05-12T06:16:12+00:00
40.76.142.77,US,100,2025-05-12T06:16:12+00:00
178.238.227.87,DE,100,2025-05-12T06:16:12+00:00
101.126.10.162,CN,100,2025-05-12T06:16:12+00:00
138.36.123.201,BR,100,2025-05-12T06:16:12+00:00
181.115.147.5,BO,100,2025-05-12T06:16:12+00:00
104.161.124.204,US,100,2025-05-12T06:16:12+00:00
176.123.6.211,MD,100,2025-05-12T06:16:12+00:00
5.76.55.69,KZ,100,2025-05-12T06:16:12+00:00
18.198.77.8,DE,100,2025-05-12T06:16:12+00:00
98.102.148.242,US,100,2025-05-12T06:16:12+00:00
142.44.247.114,CA,100,2025-05-12T06:16:11+00:00
8.146.198.197,CN,100,2025-05-12T06:16:11+00:00
103.171.1.161,VN,100,2025-05-12T06:16:11+00:00
193.32.162.90,RO,100,2025-05-12T06:16:11+00:00
58.253.194.27,CN,100,2025-05-12T06:16:11+00:00
165.140.50.170,CA,100,2025-05-12T06:16:11+00:00
159.223.35.36,SG,100,2025-05-12T06:16:11+00:00
164.92.94.138,US,100,2025-05-12T06:16:11+00:00
122.116.47.137,TW,100,2025-05-12T06:16:10+00:00
157.245.245.246,US,100,2025-05-12T06:16:10+00:00
27.15.200.118,CN,100,2025-05-12T06:16:10+00:00
88.129.208.46,SE,100,2025-05-12T06:16:10+00:00
117.50.220.71,CN,100,2025-05-12T06:16:10+00:00
